OBJECTID,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
1072,"Census Tract 48, El Paso County, Colorado",8041004800,EL PASO,0.93,0,5293,5691.4
1073,"Census Tract 27, El Paso County, Colorado",8041002700,EL PASO,0.82,0.07,3131,3818.3
1074,"Census Tract 25.01, El Paso County, Colorado",8041002501,EL PASO,5.72,0.04,3513,614.2
1075,"Census Tract 25.02, El Paso County, Colorado",8041002502,EL PASO,1.51,0,4370,2894
1076,"Census Tract 24, El Paso County, Colorado",8041002400,EL PASO,1.6,0,5729,3580.6
1077,"Census Tract 22, El Paso County, Colorado",8041002200,EL PASO,0.67,0,2641,3941.8
1078,"Census Tract 21.02, El Paso County, Colorado",8041002102,EL PASO,1.01,0,4658,4611.9
1079,"Census Tract 31, El Paso County, Colorado",8041003100,EL PASO,4.35,0.05,4379,1006.7
1080,"Census Tract 21.01, El Paso County, Colorado",8041002101,EL PASO,1.05,0,3698,3521.9
1081,"Census Tract 14, El Paso County, Colorado",8041001400,EL PASO,0.76,0,3436,4521.1
1082,"Census Tract 13.02, El Paso County, Colorado",8041001302,EL PASO,1.18,0,5032,4264.4
1083,"Census Tract 11.04, El Paso County, Colorado",8041001104,EL PASO,1.64,0,3207,1955.5
1084,"Census Tract 8, El Paso County, Colorado",8041000800,EL PASO,0.86,0,2980,3465.1
1085,"Census Tract 7, El Paso County, Colorado",8041000700,EL PASO,0.63,0,3265,5182.5
1086,"Census Tract 6, El Paso County, Colorado",8041000600,EL PASO,0.66,0,3257,4934.8
1087,"Census Tract 5, El Paso County, Colorado",8041000500,EL PASO,0.52,0,2281,4386.5
1088,"Census Tract 4, El Paso County, Colorado",8041000400,EL PASO,0.66,0,2172,3290.9
1089,"Census Tract 78, El Paso County, Colorado",8041007800,EL PASO,2.02,0,5165,2556.9
1090,"Census Tract 3.02, El Paso County, Colorado",8041000302,EL PASO,2.18,0.02,4739,2173.9
1091,"Census Tract 77, El Paso County, Colorado",8041007700,EL PASO,2.32,0,5701,2457.3
1092,"Census Tract 835, Arapahoe County, Colorado",8005083500,ARAPAHOE,0.73,0,5873,8045.2
1093,"Census Tract 828, Arapahoe County, Colorado",8005082800,ARAPAHOE,0.76,0,4978,6550
1094,"Census Tract 824, Arapahoe County, Colorado",8005082400,ARAPAHOE,0.79,0,4311,5457
1095,"Census Tract 56.30, Arapahoe County, Colorado",8005005630,ARAPAHOE,1,0.01,5414,5414
1096,"Census Tract 56.31, Arapahoe County, Colorado",8005005631,ARAPAHOE,0.65,0,3253,5004.6
1097,"Census Tract 56.28, Arapahoe County, Colorado",8005005628,ARAPAHOE,0.99,0,5777,5835.4
1098,"Census Tract 56.32, Arapahoe County, Colorado",8005005632,ARAPAHOE,0.85,0,3297,3878.8
1099,"Census Tract 56.29, Arapahoe County, Colorado",8005005629,ARAPAHOE,0.99,0.01,2472,2497
1100,"Census Tract 844, Arapahoe County, Colorado",8005084400,ARAPAHOE,0.41,0,3063,7470.7
1101,"Census Tract 9609, Huerfano County, Colorado",8055960900,HUERFANO,1549.06,2.05,3327,2.1
1102,"Census Tract 9606, Huerfano County, Colorado",8055960600,HUERFANO,41.94,0.19,3194,76.2
1103,"Census Tract 56.24, Arapahoe County, Colorado",8005005624,ARAPAHOE,0.77,0,2369,3076.6
1104,"Census Tract 56.27, Arapahoe County, Colorado",8005005627,ARAPAHOE,1,0,4567,4567
1105,"Census Tract 56.14, Arapahoe County, Colorado",8005005614,ARAPAHOE,0.9,0,3351,3723.3
1106,"Census Tract 67.07, Arapahoe County, Colorado",8005006707,ARAPAHOE,1.25,0,5182,4145.6
1107,"Census Tract 67.08, Arapahoe County, Colorado",8005006708,ARAPAHOE,1,0,5138,5138
1108,"Census Tract 66.04, Arapahoe County, Colorado",8005006604,ARAPAHOE,0.73,0.02,4349,5957.5
1109,"Census Tract 66.03, Arapahoe County, Colorado",8005006603,ARAPAHOE,0.72,0,3535,4909.7
1110,"Census Tract 67.05, Arapahoe County, Colorado",8005006705,ARAPAHOE,1.95,0.01,2010,1030.8
1111,"Census Tract 66.01, Arapahoe County, Colorado",8005006601,ARAPAHOE,0.75,0,5592,7456
1112,"Census Tract 56.21, Arapahoe County, Colorado",8005005621,ARAPAHOE,1,0.01,3295,3295
1113,"Census Tract 56.25, Arapahoe County, Colorado",8005005625,ARAPAHOE,0.72,0,3086,4286.1
1114,"Census Tract 67.04, Arapahoe County, Colorado",8005006704,ARAPAHOE,4.26,0.06,4404,1033.8
1115,"Census Tract 56.20, Arapahoe County, Colorado",8005005620,ARAPAHOE,0.38,0.02,2725,7171.1
1116,"Census Tract 67.09, Arapahoe County, Colorado",8005006709,ARAPAHOE,1.62,0,5501,3395.7
1117,"Census Tract 56.19, Arapahoe County, Colorado",8005005619,ARAPAHOE,1.48,0.17,4506,3044.6
1118,"Census Tract 56.33, Arapahoe County, Colorado",8005005633,ARAPAHOE,0.75,0,3109,4145.3
1119,"Census Tract 817, Arapahoe County, Colorado",8005081700,ARAPAHOE,0.71,0,2979,4195.8
1120,"Census Tract 151, Arapahoe County, Colorado",8005015100,ARAPAHOE,0.57,0,2684,4708.8
1121,"Census Tract 839, Arapahoe County, Colorado",8005083900,ARAPAHOE,0.53,0,2981,5624.5
1122,"Census Tract 829, Arapahoe County, Colorado",8005082900,ARAPAHOE,1.02,0,4638,4547.1
1123,"Census Tract 873, Arapahoe County, Colorado",8005087300,ARAPAHOE,0.84,0,8113,9658.3
1124,"Census Tract 869, Arapahoe County, Colorado",8005086900,ARAPAHOE,0.28,0,3158,11278.6
1125,"Census Tract 871, Arapahoe County, Colorado",8005087100,ARAPAHOE,0.38,0,2661,7002.6
1126,"Census Tract 73.01, Arapahoe County, Colorado",8005007301,ARAPAHOE,0.33,0,2340,7090.9
