state,test_id,recall_vote,district
CO,3665006,Yes,03
CO,2654439,Yes,03
CO,4903588,DK,03
CO,282075,DK,03
CO,3081918,Yes,03
CO,1734822,Yes,03
CO,4671171,No,03
CO,466171,Yes,03
CO,1689129,DK,03
CO,964439,No,03
CO,4933412,DK,03
CO,2984469,DK,03
CO,1576796,No,03
CO,1187569,Yes,03
CO,3735873,No,03
CO,849088,No,03
CO,303721,Yes,03
CO,3675490,DK,03
CO,3794947,No,03
CO,1554160,Yes,03
CO,4919876,No,03
CO,2895019,No,03
CO,4912500,Yes,03
CO,4615573,No,03
CO,1310966,Yes,03
CO,916079,No,03
CO,4026347,No,03
CO,1852259,No,03
CO,3916251,DK,03
CO,2655842,Yes,03
CO,201609,No,03
CO,1864155,No,03
CO,985390,DK,03
CO,320053,Yes,03
CO,3053572,No,03
CO,4204829,No,03
CO,834017,Yes,03
CO,2405985,Yes,03
CO,2195859,Yes,03
CO,2917980,Yes,03
CO,3607160,Yes,03
CO,1312905,No,03
CO,3871392,No,03
CO,1258366,Yes,03
CO,1065502,DK,03
CO,4373100,DK,03
CO,903946,No,03
CO,637641,No,03
CO,4816709,Yes,03
CO,4629857,No,03
CO,3593540,Yes,03
CO,2381341,No,03
CO,1280039,No,03
CO,3122683,Yes,03
CO,1781116,Yes,03
CO,2532739,No,03
CO,4749212,No,03
CO,4379566,No,03
CO,4399912,No,03
CO,88934,Yes,03
CO,4087131,Yes,03
CO,4236954,No,03
CO,4208112,DK,03
CO,4265109,Yes,03
CO,3981852,No,03
CO,3574596,No,03
CO,451780,No,03
CO,1875366,Yes,03
CO,750913,Yes,03
CO,2632081,Yes,03
CO,4594402,Yes,03
CO,41006,DK,03
CO,687828,No,03
CO,1995135,No,03
CO,2484649,DK,03
CO,4022308,Yes,03
CO,3108689,No,03
WA,1999299,No,03
CO,2188696,No,03
CO,2075428,Yes,03
CO,3227897,Yes,03
CO,323949,No,03
CO,1387198,No,03
CO,758220,No,03
CO,2747207,Yes,03
CO,303374,Yes,03
CO,1719567,No,03
CO,1079633,Yes,03
CO,758231,Yes,03
CO,2771672,Yes,03
CO,3255436,No,03
CO,1647860,No,03
CO,4611974,DK,03
CO,806579,Yes,03
CO,268194,Yes,03
CO,4446503,Yes,03
CO,1893932,No,03
CO,3671110,No,03
CO,75524,Yes,03
CO,3106269,Yes,03
CO,4810505,No,03
CO,3908812,No,03
CO,3503000,DK,03
CO,1347593,No,03
CO,2535435,No,03
CO,3533907,Yes,03
CO,2318770,No,03
CO,2103650,DK,03
CO,4194096,No,03
CO,2757726,No,03
CO,397017,No,03
CO,1071939,Yes,03
CO,3935458,No,03
CO,1553085,DK,03
CO,3854172,DK,03
CO,4207166,Yes,03
CO,2691124,Yes,03
CO,4807011,Yes,03
CO,1855599,DK,03
CO,309916,No,03
CO,2494091,No,03
CO,2791358,Yes,03
CO,3969961,DK,03
CO,3629622,No,03
CO,2913165,Yes,03
CO,2653722,Yes,03
CO,403993,No,03
CO,2834855,Yes,03
CO,2913215,DK,03
CO,2506890,Yes,03
CO,682946,Yes,03
CO,4828936,No,03
CO,1955352,No,03
CO,4444137,Yes,03
CO,3552383,Yes,03
CO,76731,No,03
CO,3815963,Yes,03
CO,1302190,No,03
CO,2605295,No,03
CO,3530956,No,03
CO,2243093,Yes,03
CO,82031,No,03
CO,2396281,No,03
CO,2563653,Yes,03
CO,763139,Yes,03
CO,2915562,Yes,03
CO,765579,No,03
CO,4288015,Yes,03
CO,2282455,Yes,03
CO,1382562,Yes,03
CO,3193125,No,03
CO,3100245,No,03
CO,3236357,No,03
CO,2512370,Yes,03
CO,1196470,No,03
CO,4312095,DK,03
CO,3541788,Yes,03
CO,1764600,No,03
CO,2968428,No,03
CO,2942704,No,03
CO,1956781,No,03
CO,2051543,No,03
CO,605237,No,03
CO,3082072,Yes,03
CO,1900975,Yes,03
CO,3769481,DK,03
CO,4671216,DK,03
CO,1005876,Yes,03
CO,1266901,Yes,03
CO,2080661,DK,03
CO,3518349,No,03
CO,4596207,No,03
CO,4738624,No,03
CO,4748089,No,03
CO,209761,DK,03
CO,1585158,Yes,03
CO,1840048,DK,03
CO,4596762,Yes,03
CO,4922376,No,03
CO,1276170,No,03
CO,1319050,No,03
CO,2639179,DK,03
CO,3439714,DK,03
CO,1810135,Yes,03
CO,4528002,DK,03
CO,4581508,Yes,03
CO,257833,No,03
CO,22143,Yes,03
CO,3122927,Yes,03
CO,3690352,No,03
CO,2117372,No,03
CO,742311,Yes,03
CO,883665,No,03
CO,385456,No,03
CO,3081742,No,03
CO,2699168,Yes,03
CO,3983599,Yes,03
CO,2232763,No,03
CO,1820319,Yes,03
CO,1243306,No,03
CO,4430920,Yes,03
CO,783542,Yes,03
CO,2894252,Yes,03
CO,3580522,No,03
CO,4934527,No,03
CO,4614017,No,03
CO,3533169,No,03
CO,1327686,No,03
CO,3360804,Yes,03
CO,685483,No,03
CO,3533060,Yes,03
CO,553360,No,03
CO,236115,Yes,03
CO,3101752,No,03
CO,4983156,No,03
CO,1622141,No,03
CO,1345032,Yes,03
CO,701842,Yes,03
CO,1404378,Yes,03
CO,4628515,Yes,03
CO,1939897,Yes,03
CO,4276881,Yes,03
CO,3153409,Yes,03
CO,768989,DK,03
CO,1937757,Yes,03
CO,4203417,Yes,03
CO,3328340,Yes,03
CO,1435104,Yes,03
CO,140177,No,03
CO,71119,Yes,03
CO,505476,Yes,03
CO,3943319,Yes,03
CO,3540836,Yes,03
CO,2688756,No,03
CO,97844,DK,03
CO,622646,Yes,03
CO,3813524,Yes,03
CO,40943,Yes,03
CO,1624302,Yes,03
CO,2493658,DK,03
CO,3835361,No,03
CO,3990202,Yes,03
CO,3358121,No,03
CO,543940,Yes,03
CO,995694,DK,03
CO,627095,No,03
CO,897305,Yes,03
CO,1290569,DK,03
CO,781323,Yes,03
CO,2966570,Yes,03
CO,4917116,No,03
CO,2885654,Yes,03
CO,4301519,DK,03
CO,1195809,No,03
CO,3866166,Yes,03
CO,4922868,No,03
CO,4957077,No,03
CO,1339821,No,03
CO,4073327,Yes,03
CO,1606575,No,03
CO,1618426,DK,03
CO,3792209,Yes,03
CO,3298137,Yes,03
CO,1807901,No,03
CO,4530708,No,03
CO,3739520,Yes,03
CO,4900407,Yes,03
CO,212990,No,03
CO,773821,No,03
CO,1839725,No,03
CO,1414463,Yes,03
CO,4402822,DK,03
CO,1680662,Yes,03
CO,1440513,Yes,03
CO,1770837,No,03
CO,490556,No,03
CO,1609386,No,03
CO,2663568,No,03
CO,1346723,DK,03
CO,4378057,No,03
CO,2866507,No,03
CO,2724082,No,03
CO,3607404,Yes,03
CO,2036611,No,03
CO,1809764,No,03
CO,3505649,No,03
AZ,1677647,Yes,03
CO,809854,Yes,03
CO,3292281,No,03
CO,482912,No,03
CO,969379,Yes,03
CO,1572464,Yes,03
CO,955764,Yes,03
CO,4280183,Yes,03
CO,35452,DK,03
CO,4633968,No,03
CO,4653654,DK,03
CO,668824,Yes,03
CO,2251128,Yes,03
CO,4122044,No,03
CO,871699,No,03
CO,2608892,No,03
CO,474202,No,03
CO,1502391,No,03
CO,3507358,No,03
CO,998382,No,03
CO,3733736,No,03
CO,4544316,No,03
CO,916954,DK,03
CO,4664364,No,03
CO,4553368,Yes,03
CO,478273,No,03
CO,3303690,No,03
CO,4936932,Yes,03
CO,3394278,No,03
CO,2513577,DK,03
CO,1488706,No,03
CO,2210407,No,03
CO,2922062,No,03
CO,132499,DK,03
CO,4693623,Yes,03
CO,4031089,Yes,03
CO,4657147,No,03
CO,3233361,No,03
CO,3271569,No,03
CO,4955221,No,03
CO,804001,No,03
CO,756494,Yes,03
CO,2354869,No,03
CO,3200857,Yes,03
CO,2565088,DK,03
CO,58644,DK,03
CO,2369664,Yes,03
CO,2283962,Yes,03
CO,3694845,No,03
CO,1171455,DK,03
CO,4062197,Yes,03
CO,1419174,No,03
CO,2550797,No,03
CO,3738695,Yes,03
CO,726751,No,03
CO,3612375,No,03
CO,4233991,Yes,03
CO,2351720,No,03
CO,2839689,Yes,03
CO,2844112,Yes,03
CO,1770642,Yes,03
CO,2436768,Yes,03
CO,3902875,Yes,03
CO,4857923,Yes,03
CO,427253,No,03
CO,2519910,No,03
CO,1691387,Yes,03
CO,4891884,No,03
CO,4202724,Yes,03
CO,3085563,Yes,03
CO,1093237,No,03
CO,2946490,No,03
CO,2606902,No,03
CO,1036905,Yes,03
CO,2044352,Yes,03
CO,509651,DK,03
CO,2489218,No,03
CO,3471753,No,03
CO,239142,No,03
CO,4922034,Yes,03
CO,2557882,No,03
CO,2066865,No,03
CO,4321626,DK,03
CO,2492854,Yes,03
CO,974912,No,03
CO,782799,DK,03
CO,83863,No,03
CO,1279424,DK,03
CO,1544634,Yes,03
CO,2849492,No,03
CO,4313749,Yes,03
CO,545135,Yes,03
CO,620198,No,03
CO,2470198,DK,03
CO,2371241,No,03
CO,3134138,Yes,03
CO,440555,Yes,03
CO,4261429,Yes,03
CO,742520,Yes,03
CO,2715218,No,03
CO,667915,No,03
CO,1154092,Yes,03
CO,1134104,Yes,03
CO,3655971,DK,03
CO,1413381,DK,03
CO,768451,Yes,03
CO,683041,Yes,03
CO,3740834,DK,03
CO,4855674,No,03
CO,4015617,No,03
CO,4093038,Yes,03
CO,4598609,No,03
CO,984343,No,03
CO,2439333,Yes,03
CO,3379866,No,03
CO,4571996,Yes,03
CO,3137247,No,03
CO,4808873,No,03
CO,3938679,No,03
CO,986849,Yes,03
CO,240277,Yes,03
CO,544156,DK,03
CO,2760013,No,03
CO,3112132,Yes,03
CO,4029816,DK,03
CO,1410217,Yes,03
CO,1434194,No,03
CO,628825,Yes,03
CO,3048660,Yes,03
CO,4480447,DK,03
CO,3285607,Yes,03
CO,2581579,Yes,03
CO,3824391,No,03
CO,2455156,DK,03
CO,592656,Yes,03
CO,181772,Yes,03
CO,3319664,No,03
CO,4497706,Yes,03
CO,3869151,Yes,03
CO,3109305,Yes,03
CO,2485656,DK,03
CO,544274,Yes,03
CO,2163611,No,03
CO,2190149,No,03
CO,2035736,DK,03
CO,1572721,Yes,03
CO,2006982,DK,03
CO,2639980,No,03
CO,2460679,No,03
CO,1818319,Yes,03
CO,3699439,Yes,03
CO,3990412,No,03
CO,2142048,DK,03
CO,2578340,No,03
CO,1952706,Yes,03
CO,3487559,No,03
CO,3887304,No,03
CO,2489456,No,03
CO,4600069,Yes,03
CO,3580231,Yes,03
CO,3865668,No,03
CO,1521653,No,03
CO,2039971,Yes,03
CO,1374667,Yes,03
CO,1402714,Yes,03
CO,2102888,No,03
CO,490293,DK,03
CO,2984942,Yes,03
CO,3943900,Yes,03
CO,4216641,Yes,03
CO,3730411,DK,03
CO,5665,No,03
CO,1978906,Yes,03
CO,2594424,No,03
CO,1235507,No,03
CO,2817928,No,03
CO,1583124,Yes,03
CO,2475502,Yes,03
CO,693027,No,03
CO,3888440,No,03
CO,1918168,No,03
CO,894889,Yes,03
CO,2118039,No,03
CO,1633969,No,03
CO,1613604,DK,03
CO,2330269,Yes,03
CO,2862717,No,03
CO,3679432,Yes,03
CO,1862261,Yes,03
CO,923235,No,03
CO,488627,Yes,03
CO,182614,Yes,03
CO,3136232,Yes,03
CO,1852981,Yes,03
CO,2821089,Yes,03
CO,4396391,No,03
CO,3457437,Yes,03
CO,1673150,No,03
CO,4860921,No,03
CO,1585692,No,03
CO,2525311,Yes,03
CO,420446,Yes,03
CO,2448256,Yes,03
CO,1731761,Yes,03
CO,2398367,Yes,03
CO,82079,DK,03
