state	test_id	recall_vote
CO	4371518	No
CO	999789	No
CO	1149198	No
CO	1953118	No
CO	4234376	No
CO	58996	DK
CO	1822672	No
CO	337863	DK
CO	617063	No
CO	2137492	No
CO	3046520	DK
CO	4423304	No
CO	4840771	DK
CO	3529663	DK
CO	72754	DK
CO	3627224	DK
CO	174439	No
CO	2247854	Yes
CO	912954	No
CO	1258746	No
CO	3868405	Yes
CO	2214786	Yes
CO	4486746	No
CO	1477538	DK
CO	1375707	Yes
CO	2710294	No
CO	3817551	Yes
CO	1306792	No
CO	4136264	Yes
CO	1721250	No
CO	1770179	Yes
CO	4337009	DK
CO	295724	No
CO	808044	No
CO	4526969	No
CO	3134030	DK
CO	4405962	No
CO	1957873	Yes
CO	3967483	No
CO	59902	Yes
CO	2070477	No
CO	203095	No
CO	209099	Yes
CO	2711537	Yes
CO	4147652	DK
CO	1420315	Yes
CO	747651	DK
CO	4103913	Yes
CO	3530775	Yes
CO	1346186	Yes
CO	4364116	DK
CO	479689	DK
CO	720037	Yes
CO	1265708	Yes
CO	1664049	DK
CO	3806686	DK
CO	3593231	No
CO	4309592	Yes
CO	1042981	Yes
CO	1333890	Yes
CO	2010051	No
CO	1607283	Yes
CO	2906957	Yes
CO	2624392	Yes
CO	3390923	Yes
CO	2337969	DK
CO	4390345	No
CO	2425716	No
CO	4689394	DK
CO	973076	No
CO	2880334	DK
CO	2433115	Yes
CO	4952170	Yes
CO	4421791	No
CO	4535632	Yes
CO	4464318	No
CO	1917188	Yes
CO	3586043	No
CO	1604673	DK
CO	4408516	No
CO	906312	Yes
CO	4335826	DK
CO	1547909	No
CO	4385954	Yes
CO	1476169	No
CO	2170427	Yes
CO	2209545	DK
CO	695410	Yes
IL	142907	DK
CO	4899136	DK
CO	155936	No
CO	3064808	DK
CO	1701907	DK
CO	4208671	No
CO	3795793	Yes
CO	3435873	Yes
CO	753129	Yes
CO	4040859	Yes
CO	2830720	DK
CO	263909	Yes
CO	3536022	DK
CO	225569	Yes
CO	4816528	Yes
CO	1085462	DK
CO	4538168	No
CO	960676	Yes
CO	398082	No
CO	1118500	DK
CO	1962799	Yes
CO	4966750	No
CO	2037350	DK
CO	3144490	Yes
CO	1387221	DK
CO	806853	No
CO	1059308	No
CO	308832	Yes
CO	4911024	No
CO	309487	Yes
CO	584350	DK
CO	3538507	DK
CO	143294	Yes
CO	2940763	No
CO	4993447	Yes
CO	4579942	Yes
CO	5957	Yes
CO	2757928	DK
CO	2948812	Yes
CO	2514424	DK
CO	4893474	Yes
CO	2193497	Yes
CO	4215228	Yes
CO	32594	No
CO	1105565	No
CO	3043107	Yes
CO	1285323	No
CO	19675	No
CO	2688903	Yes
CO	2712463	No
CO	4829326	No
CO	4198892	No
CO	3298193	DK
CO	4541703	DK
CO	626279	DK
CO	103453	No
CO	514416	Yes
CO	2207678	Yes
CO	1357600	Yes
CO	170601	Yes
CO	304259	DK
CO	3540306	No
CO	1157028	Yes
CO	3289263	DK
CO	25277	Yes
CO	4441399	No
CO	3114445	No
CO	3519686	No
CO	3594347	No
CO	4560737	DK
CO	684927	Yes
CO	2239449	Yes
CO	2851276	Yes
CO	1881185	DK
CO	3571264	Yes
CO	4238049	No
CO	4049089	No
CO	2548997	No
CO	1427367	No
CO	988807	No
CO	2149937	DK
CO	135213	No
CO	4409537	Yes
CO	3472490	Yes
CO	2471065	DK
CO	3404705	Yes
CO	636868	No
CO	2764032	Yes
CO	1524531	No
CO	3676254	No
CO	452115	Yes
CO	83050	DK
CO	1900517	DK
CO	1775810	Yes
CO	393076	No
CO	1413259	Yes
CO	2903942	No
CO	4187647	Yes
CO	2224484	No
CO	3736115	Yes
CO	2227457	DK
CO	2327542	No
CO	136050	Yes
CO	3365738	DK
CO	3053880	DK
CO	2210780	Yes
CO	2317613	Yes
CO	266824	Yes
CO	1375304	Yes
CO	3436221	DK
CO	4865259	No
CO	4888703	No
CO	2403824	No
CO	4876074	No
CO	4802850	Yes
CO	292881	No
CO	2729505	Yes
CO	2559491	Yes
CO	23240	No
CO	769632	Yes
CO	4178897	No
CO	540403	DK
CO	2840394	No
CO	4541643	DK
CO	2658199	No
CO	2659833	DK
CO	3978439	Yes
CO	1099549	Yes
CO	997199	No
CO	3275403	No
CO	3537011	Yes
CO	2498289	No
CO	2985499	Yes
CO	2853619	No
CO	3885550	Yes
CO	708387	DK
CO	1714371	No
CO	3588779	Yes
CO	2859530	Yes
CO	3999902	Yes
CO	3729017	DK
CO	3294732	DK
CO	2779979	Yes
CO	1675328	No
CO	1674921	No
CO	4694747	No
CO	4177894	Yes
CO	3485408	No
CO	41442	Yes
CO	1537237	DK
CO	559160	No
CO	1831421	DK
CO	4841818	Yes
CO	4271822	No
CO	2747246	No
CO	4761367	No
CO	3878339	No
CO	950920	Yes
CO	4958267	DK
CO	3228929	No
CO	174433	No
CO	457973	DK
CO	1335299	No
CO	4618495	No
CO	3588599	DK
CO	1286154	Yes
CO	3869251	Yes
CO	1438874	Yes
CO	3068187	DK
CO	936997	Yes
CO	4386292	No
CO	1225968	Yes
CO	844440	Yes
CO	1064981	Yes
CO	48185	Yes
CO	784827	No
CO	1547877	No
CO	2186680	No
CO	3547030	DK
CO	2611124	No
CO	3296496	DK
CO	1964579	No
CO	2984349	Yes
CO	4700268	Yes
CO	999434	No
CO	3382112	No
CO	2531772	Yes
CO	2866779	No
CO	1852449	No
CO	3545052	Yes
CO	4000966	Yes
CO	4843869	No
CO	1676250	No
CO	2451321	Yes
CO	3945153	Yes
CO	3195653	Yes
CO	3029104	No
CO	2206637	No
