state	test_id	recall_vote
CO	2532739	No
CO	4749212	No
CO	4379566	No
CO	4399912	No
CO	88934	Yes
CO	4087131	Yes
CO	4236954	No
CO	4208112	DK
CO	4265109	Yes
CO	3981852	No
CO	3574596	No
CO	451780	No
CO	1875366	Yes
CO	750913	Yes
CO	2632081	Yes
CO	4594402	Yes
CO	41006	DK
CO	687828	No
CO	1995135	No
CO	2484649	DK
CO	4022308	Yes
CO	3108689	No
WA	1999299	No
CO	2188696	No
CO	2075428	Yes
CO	3227897	Yes
CO	323949	No
CO	1387198	No
CO	758220	No
CO	2747207	Yes
CO	303374	Yes
CO	1719567	No
CO	1079633	Yes
CO	758231	Yes
CO	2771672	Yes
CO	3255436	No
CO	1647860	No
CO	4611974	DK
CO	806579	Yes
CO	268194	Yes
CO	4446503	Yes
CO	1893932	No
CO	3671110	No
CO	75524	Yes
CO	3106269	Yes
CO	4810505	No
CO	3908812	No
CO	3503000	DK
CO	1347593	No
CO	2535435	No
CO	3533907	Yes
CO	2318770	No
CO	2103650	DK
CO	4194096	No
CO	2757726	No
CO	397017	No
CO	1071939	Yes
CO	3935458	No
CO	1553085	DK
CO	3854172	DK
CO	4207166	Yes
CO	2691124	Yes
CO	4807011	Yes
CO	1855599	DK
CO	309916	No
CO	2494091	No
CO	2791358	Yes
CO	3969961	DK
CO	3629622	No
CO	2913165	Yes
CO	2653722	Yes
CO	403993	No
CO	2834855	Yes
CO	2913215	DK
CO	2506890	Yes
CO	682946	Yes
CO	4828936	No
CO	1955352	No
CO	4444137	Yes
CO	3552383	Yes
CO	76731	No
CO	3815963	Yes
CO	1302190	No
CO	2605295	No
CO	3530956	No
CO	2243093	Yes
CO	82031	No
CO	2396281	No
CO	2563653	Yes
CO	763139	Yes
CO	2915562	Yes
CO	765579	No
CO	4288015	Yes
CO	2282455	Yes
CO	1382562	Yes
CO	3193125	No
CO	3100245	No
CO	3236357	No
CO	2512370	Yes
CO	1196470	No
CO	4312095	DK
CO	3541788	Yes
CO	1764600	No
CO	2968428	No
CO	2942704	No
CO	1956781	No
CO	2051543	No
CO	605237	No
CO	3082072	Yes
CO	1900975	Yes
CO	3769481	DK
CO	4671216	DK
CO	1005876	Yes
CO	1266901	Yes
CO	2080661	DK
CO	3518349	No
CO	4596207	No
CO	4738624	No
CO	4748089	No
CO	209761	DK
CO	1585158	Yes
CO	1840048	DK
CO	4596762	Yes
CO	4922376	No
CO	1276170	No
CO	1319050	No
CO	2639179	DK
CO	3439714	DK
CO	1810135	Yes
CO	4528002	DK
CO	4581508	Yes
CO	257833	No
CO	22143	Yes
CO	3122927	Yes
CO	3690352	No
CO	2117372	No
CO	742311	Yes
CO	883665	No
CO	385456	No
CO	3081742	No
CO	2699168	Yes
CO	3983599	Yes
CO	2232763	No
CO	1820319	Yes
CO	1243306	No
CO	4430920	Yes
CO	783542	Yes
CO	2894252	Yes
CO	3580522	No
CO	4934527	No
CO	4614017	No
CO	3533169	No
CO	1327686	No
CO	3360804	Yes
CO	685483	No
CO	3533060	Yes
CO	553360	No
CO	236115	Yes
CO	3101752	No
CO	4983156	No
CO	1622141	No
CO	1345032	Yes
CO	701842	Yes
CO	1404378	Yes
CO	4628515	Yes
CO	1939897	Yes
CO	4276881	Yes
CO	3153409	Yes
CO	768989	DK
CO	1937757	Yes
CO	4203417	Yes
CO	3328340	Yes
CO	1435104	Yes
CO	140177	No
CO	71119	Yes
CO	505476	Yes
CO	3943319	Yes
CO	3540836	Yes
CO	2688756	No
CO	97844	DK
CO	622646	Yes
CO	3813524	Yes
CO	40943	Yes
CO	1624302	Yes
CO	2493658	DK
CO	3835361	No
CO	3990202	Yes
CO	3358121	No
CO	543940	Yes
CO	995694	DK
CO	627095	No
CO	897305	Yes
CO	1290569	DK
CO	781323	Yes
CO	2966570	Yes
CO	4917116	No
CO	2885654	Yes
CO	4301519	DK
CO	1195809	No
CO	3866166	Yes
CO	4922868	No
CO	4957077	No
CO	1339821	No
CO	4073327	Yes
CO	1606575	No
CO	1618426	DK
CO	3792209	Yes
CO	3298137	Yes
CO	1807901	No
CO	4530708	No
CO	3739520	Yes
CO	4900407	Yes
CO	212990	No
CO	773821	No
CO	1839725	No
CO	1414463	Yes
CO	4402822	DK
CO	1680662	Yes
CO	1440513	Yes
CO	1770837	No
CO	490556	No
CO	1609386	No
CO	2663568	No
CO	1346723	DK
CO	4378057	No
CO	2866507	No
CO	2724082	No
CO	3607404	Yes
CO	2036611	No
CO	1809764	No
CO	3505649	No
AZ	1677647	Yes
CO	809854	Yes
CO	3292281	No
CO	482912	No
CO	969379	Yes
CO	1572464	Yes
CO	955764	Yes
CO	4280183	Yes
CO	35452	DK
CO	4633968	No
CO	4653654	DK
CO	668824	Yes
CO	2251128	Yes
CO	4122044	No
CO	871699	No
CO	2608892	No
CO	474202	No
CO	1502391	No
CO	3507358	No
CO	998382	No
CO	3733736	No
CO	4544316	No
CO	916954	DK
CO	4664364	No
CO	4553368	Yes
CO	478273	No
CO	3303690	No
CO	4936932	Yes
CO	3394278	No
CO	2513577	DK
CO	1488706	No
CO	2210407	No
CO	2922062	No
CO	132499	DK
CO	4693623	Yes
CO	4031089	Yes
CO	4657147	No
CO	3233361	No
CO	3271569	No
CO	4955221	No
CO	804001	No
CO	756494	Yes
CO	2354869	No
